Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X;
al-Douri;38501;IRQ;2000;2000;2030;2030;2;9;16;1;0;5;0;1991_douri;2003;2007;x;*
al-Dulaymi;38502;IRQ;2000;2000;2030;2030;2;9;0;1;0;5;0;1991_dulaymi;2003;2019;x;*
al-Hiti;38503;IRQ;2000;2030;2030;2030;3;9;0;1;0;5;0;Nahiti;2003;2019;x;
al-Majid;38504;IRQ;2000;2000;2000;2030;2;9;4;1;0;5;0;1991_majid;2003;2019;x;*
al-Naqib;38505;IRQ;2000;2030;2030;2030;3;9;1;0;0;5;0;1991_naqib;2003;2019;x;*
al-Tai;38506;IRQ;2000;2000;2000;2030;1;9;0;3;0;5;0;Haatai;2003;2019;x;*
al-Tikrit;38507;IRQ;2000;2000;2000;2030;2;9;132;0;0;5;0;unknown;2003;2019;x;*
al-Tikriti I.;38508;IRQ;2000;2000;2030;2030;2;9;0;1;0;5;0;1991_tikriti;2003;2019;x;*
al-Tikriti K.;38509;IRQ;2000;2030;2030;2030;3;9;0;0;0;5;0;1991_kamal;2003;2019;x;*
al-Tikriti M.;38510;IRQ;2000;2000;2030;2030;2;9;2;0;0;5;0;1991_altikriti;2003;2019;x;*
al-Ubaydi;38511;IRQ;2000;2000;2030;2030;3;9;0;1;0;5;0;1991_rashid;2003;2019;x;*
Amin;38512;IRQ;2000;2000;2030;2030;2;9;4;0;0;5;0;1991_amin;2003;2019;x;*
an-Najim;38513;IRQ;2000;2000;2000;2030;2;9;0;1;0;5;0;1991_najim;2003;2019;x;*
Hussein Q.;38514;IRQ;2000;2030;2030;2030;3;9;0;0;0;5;0;1991_qusay;2003;2019;x;*
Mahmud;38515;IRQ;2000;2030;2030;2030;3;9;0;0;0;5;0;1991_mahmud;2003;2019;x;*
Majid;38516;IRQ;2000;2006;2030;2030;2;9;2;2;0;5;0;Agmajid;2003;2019;x;
Mowhoush;38517;IRQ;2000;2030;2030;2030;3;9;0;1;0;5;0;Ahmowhoush;2003;2019;x;*
Obeidi;38518;IRQ;2000;2003;2005;2030;2;9;256;1;0;5;0;Qobeidi_L;2003;2019;x;
Zebari;38519;IRQ;2000;2000;2003;2030;1;9;0;2;0;5;0;M38523;2003;2019;x;
Jawad;38520;IRQ;2000;2030;2030;2030;3;9;0;1;0;5;1;M38525;2003;2019;x;
al-Tikriti M.S.;38521;IRQ;2000;2000;2000;2030;2;9;4096;1;0;5;2;1991_muzahim;2003;2019;x;*
Barzanji;38522;IRQ;2000;2030;2030;2030;3;9;0;1;0;5;2;Kbarzanji;2003;2019;x;
Shalah;38523;IRQ;2000;2000;2000;2030;1;9;0;1;0;5;2;M38510;2003;2019;x;*
