Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Koopman;7500;BEL;2003;2003;2003;2003;0;3;129;3;0;5;0;L7500;2003;2020;x
Mahieu;7501;BEL;2003;2003;2003;2003;0;2;4;2;0;5;0;L7501;2003;2020;x
Vandingenen;7502;BEL;2003;2003;2003;2100;1;2;0;2;0;5;0;L7502;2003;2020;x
Orientale;7503;BEL;2003;2003;2003;2100;1;3;2;3;0;5;0;L7503;2003;2020;x
van Daele;7504;BEL;2003;2003;2003;2100;1;3;0;3;0;5;0;L7504;2003;2020;x
van Hoof;7505;BEL;2003;2003;2100;2100;2;2;1;2;0;5;0;L7505;2003;2020;x
Dubois;7506;BEL;2003;2003;2100;2100;2;1;0;1;0;5;0;L7506;2003;2020;x
Lambert;7507;BEL;2003;2003;2100;2100;2;3;16;3;0;5;0;L7507;2003;2020;x
Martin;7508;BEL;2003;2003;2100;2100;2;1;0;1;0;5;0;L7508;2003;2020;x
Janssens;7509;BEL;2003;2003;2100;2100;2;3;0;3;0;5;0;L7509;2003;2020;x
Dumont;7510;BEL;2003;2003;2100;2100;2;3;133;3;0;5;0;L7510;2003;2020;x
Peeters;7511;BEL;2003;2003;2100;2100;2;2;0;2;0;5;0;L7511;2003;2020;x
Laurent;7512;BEL;2003;2003;2100;2100;2;2;128;2;0;5;0;L7512;2003;2020;x
Maes;7513;BEL;2003;2003;2100;2100;2;2;0;2;0;5;0;L7513;2003;2020;x
Hellemans;7514;BEL;2003;2003;2003;2003;0;2;2048;2;0;5;1;L7514;2003;2020;x
Herteeler;7515;BEL;2003;2003;2003;2003;0;4;0;4;0;5;1;L7515;2003;2020;x
Goethals;7516;BEL;2003;2003;2003;2003;0;3;2024;3;0;5;1;L7516;2003;2020;x
Pynoo;7517;BEL;2003;2003;2003;2100;1;2;4096;2;0;5;1;L7517;2003;2020;x
Dory;7518;BEL;2003;2003;2003;2100;1;2;0;2;0;5;1;L7518;2003;2020;x
de Jonghe;7519;BEL;2003;2003;2100;2100;2;2;9216;2;0;5;1;L7519;2003;2020;x
Hesbois;7520;BEL;2003;2003;2100;2100;2;1;0;1;0;5;1;L7520;2003;2020;x
Boddin;7521;BEL;2003;2003;2100;2100;2;3;0;3;0;5;1;L7521;2003;2020;x
Horemans;7522;BEL;2003;2003;2100;2100;2;2;4096;2;0;5;1;L7522;2003;2020;x
Evrard;7523;BEL;2003;2003;2100;2100;2;2;0;2;0;5;1;L7523;2003;2020;x
Cauweiler;7524;BEL;2003;2003;2100;2100;2;1;0;1;0;5;1;L7524;2003;2020;x
Delprat;7525;BEL;2003;2003;2100;2100;2;3;2024;3;0;5;1;L7525;2003;2020;x
Ramboer;7526;BEL;2003;2003;2100;2100;2;2;8192;2;0;5;1;L7526;2003;2020;x
Roobrouk;7527;BEL;2003;2003;2100;2100;2;2;0;2;0;5;1;L7527;2003;2020;x
Leenknegt;7528;BEL;2003;2003;2100;2100;2;3;4096;3;0;5;1;L7528;2003;2020;x
de Decker;7529;BEL;2003;2003;2003;2100;1;2;20480;2;0;5;2;L7529;2003;2020;x
van Caelenbe;7530;BEL;2003;2003;2100;2100;2;3;8192;3;0;5;2;L7530;2003;2020;x
Leonard;7531;BEL;2003;2003;2100;2100;2;3;131072;3;0;5;2;L7531;2003;2020;x
Herssens;7532;BEL;2003;2003;2100;2100;2;1;0;1;0;5;2;L7532;2003;2020;x
Audrit;7533;BEL;2003;2003;2100;2100;2;3;4096;3;0;5;2;L7533;2003;2020;x
