Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;X
Baric;18501;CRO;2000;2004;2030;2030;2;9;2;3;15;5;0;Baric;2003;2019;x
Cacic;18502;CRO;2000;2030;2030;2030;3;9;0;1;0;5;0;Gcacic;2003;2019;x
Grdic;18503;CRO;2000;2005;2030;2030;2;9;0;1;0;5;0;Dgrdic;2003;2019;x
Kaspar;18504;CRO;2000;2030;2030;2030;3;9;0;1;0;5;0;Kkaspar;2003;2019;x
Krpan;18505;CRO;2000;2030;2030;2030;3;9;0;3;5;5;0;Pkrpan;2003;2019;x
Kruljac;18506;CRO;2002;2005;2030;2030;2;9;1073741824;1;10;5;0;Mkruljac;2003;2019;x
Lovric;18507;CRO;2000;2030;2030;2030;3;9;4;3;0;5;0;Dlovric;2003;2019;x
Lucic;18508;CRO;2000;2000;2003;2030;0;9;268435458;3;10;5;0;Jlucic;2003;2019;x
Marekovic;18509;CRO;2000;2000;2030;2030;2;9;268435460;3;15;5;0;M18508;2003;2019;x
Matanovic;18510;CRO;2000;2030;2030;2030;2;9;4;3;0;5;0;Dmatanovic;2003;2019;x
Milicevic;18511;CRO;2000;2030;2030;2030;3;9;0;2;0;5;0;Jmilicevic;2003;2019;x
Obradovic;18512;CRO;2002;2030;2030;2030;3;9;0;1;5;5;0;Mobradovic;2003;2019;x
Ostovic;18513;CRO;2000;2030;2030;2030;3;9;1;2;0;5;0;Mostovic;2003;2019;x
Padjen;18514;CRO;2005;2030;2030;2030;3;9;0;2;0;5;0;Mpadjen;2003;2019;x
Peternel;18515;CRO;2000;2030;2030;2030;3;9;0;2;0;5;0;Zpeternel;2003;2019;x
Preost;18516;CRO;2008;2030;2030;2030;3;9;0;1;0;5;0;Opreost;2008;2019;x
Repinc;18517;CRO;2000;2006;2030;2030;2;9;0;2;10;5;0;Repinc;2003;2019;x
Stojkovic;18518;CRO;2000;2030;2030;2030;3;9;0;2;0;5;0;Jstojkovic;2003;2019;x
Sundov;18519;CRO;2000;2030;2030;2030;3;9;0;1;0;5;0;Msundov;2003;2019;x
Tomicic;18520;CRO;2000;2030;2030;2030;3;9;0;2;0;5;0;Ftomicic;2003;2019;x
Zvirotic;18521;CRO;2000;2030;2030;2030;3;9;0;2;0;5;0;Jzvirotic;2003;2019;x
Hranj;18522;CRO;2000;2030;2030;2030;3;9;0;1;0;5;1;Rhranj;2003;2019;x
Jurjevic;18523;CRO;2000;2030;2030;2030;3;9;0;1;0;5;1;Unknown;2003;2019;x
Kardum;18524;CRO;2000;2005;2030;2030;2;9;0;2;5;5;1;M18510;2003;2019;x
Katicin;18525;CRO;2000;2030;2030;2030;3;9;0;1;0;5;1;Bkaticin;2003;2019;x
Simicic;18526;CRO;2000;2030;2030;2030;3;9;0;1;0;5;1;Zsimicic;2003;2019;x
Stipanovic;18527;CRO;2000;2030;2030;2030;3;9;0;1;0;5;1;Pstipanovic;2003;2019;x
Stosic;18528;CRO;2000;2030;2030;2030;3;9;4096;2;0;5;1;Mstosic;2003;2019;x
Supic;18529;CRO;2000;2030;2030;2030;3;9;0;2;0;5;1;Isupic;2003;2019;x
Tolic;18530;CRO;2003;2030;2030;2030;3;9;0;2;0;5;1;Itolic;2003;2019;x
Urlic;18531;CRO;2005;2030;2030;2030;1;9;0;2;0;5;1;Aurlic;2005;2019;x
Bagaric;18532;CRO;2003;2030;2030;2030;2;9;0;1;10;5;2;Vbagaric;2003;2019;x;
Bosak;18533;CRO;2000;2030;2030;2030;3;9;0;2;0;5;2;Ibosak;2003;2019;x;
Koprivnjak;18534;CRO;2003;2030;2030;2030;3;9;0;1;0;5;2;M18509;2003;2019;x;
Kovac;18535;CRO;2000;2030;2030;2030;3;9;0;3;0;5;2;Miroslavkovac;2003;2019;x;
Rukavina;18536;CRO;2000;2030;2030;2030;3;9;0;2;0;5;2;Unknown;2003;2019;x;
Sehic;18537;CRO;2000;2030;2030;2030;3;9;0;1;0;5;2;Unknown;2003;2019;x;
Sokic;18538;CRO;2000;2030;2030;2030;3;9;0;2;0;5;2;Unknown;2003;2019;x;
Stefanek;18539;CRO;2000;2030;2030;2030;3;9;0;1;0;5;2;Vstefanek;2003;2019;x;
Gotovina;18540;CRO;2000;2000;2030;2030;2;9;1140850692;4;25;5;0;Agotovina;1099;2100;2100;X;*
Krsticevic;18541;CRO;2000;2030;2030;2030;3;9;4;3;15;5;0;Dkrsticevic;1099;2100;2100;X;*
Kapular;18542;CRO;2000;2030;2030;2030;3;9;0;2;10;5;0;Ikapular;1099;2100;2100;X;*
Filipovic;18543;CRO;2000;2030;2030;2030;3;9;0;2;5;5;0;Mfilipovic;1099;2100;2100;X;*
Norac;18544;CRO;2000;2030;2030;2030;3;9;268435458;2;15;5;0;Mnorac;1099;2100;2100;X;*
Petkovic;18545;CRO;2000;2030;2030;2030;3;9;0;1;10;5;0;Mpetkovic;1099;2100;2100;X;*
Domazet;18546;CRO;2000;2000;2000;2030;1;9;10240;3;10;5;1;Ddomazet_l;1099;2100;2100;X;*
