U58;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
74001;Head of State;Rauf Denktas;2003;2050;2050;SC;Stern Imperialist;High;Rdenktas;x
74002;Head of Government;Dervis Eroglu;2003;2050;2050;SC;Silent Workhorse;High;Deroglu;x
74003;Foreign Minister;Turgay Avci;2003;2050;2050;SC;Great Compromiser;High;Tavci;x
74004;Minister of Armament;No Military;2003;2050;2050;SC;Undistinguished Suit;High;Unknown;x
74005;Minister of Security;Undistinguished Suit;2003;2050;2050;SC;Undistinguished Suit;High;Unknown;x
74006;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;SC;Undistinguished Suit;High;Unknown;x
74007;Chief of Staff;Undistinguished Suit;2003;2050;2050;SC;Undistinguished Suit;High;Unknown;x
74008;Chief of Army;Undistinguished Suit;2003;2050;2050;SC;Undistinguished Suit;High;Unknown;x
74009;Chief of Navy;Undistinguished Suit;2003;2050;2050;SC;Undistinguished Suit;High;Unknown;x
74010;Chief of Air Force;Undistinguished Suit;2003;2050;2050;SC;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
74011;Head of State;Mehmet Ali Talat;2003;2050;2050;SL;Autocratic Charmer;High;Matalat;x
74012;Head of Government;Mehmet Ali Talat;2003;2050;2050;SL;Ambitious Union Boss;High;Matalat;x
74013;Head of Government;Ferdi Sabit Soyer;2005;2050;2050;SL;Corporate Suit;High;Fssoyer;x
74014;Minister of Security;Özkan Murat;2003;2050;2050;SL;Silent Lawyer;High;Omurat;x
