U70;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
85501;Head of State;Yoweri Museveni;2003;2050;2050;LWR;Stern Imperialist;High;Ymuseveni;x
85502;Head of Government;Yoweri Museveni;2003;2050;2050;LWR;Backroom Backstabber;High;Ymuseveni;x
85503;Foreign Minister;Sam Kutesa;2003;2050;2050;LWR;Great Compromiser;High;Skutesa;x
85504;Minister of Armament;Crispus Kiyonga;2003;2050;2050;LWR;Infantry Proponent;High;Ckiyonga;x
85505;Minister of Security;Kiddu Makubuya;2003;2050;2050;LWR;Crooked Kleptocrat;High;Kmakubuya;x
85506;Head of Military Intelligence;Ruhakana Rugunda;2003;2050;2050;LWR;Political Specialist;High;Rrugunda;x
85507;Chief of Staff;Aronda Nyakairima;2003;2050;2050;NA;School of Psychology;High;Anyakairima;x
85508;Chief of Army;Edward Walmala;2003;2050;2050;NA;Elastic Defence Doctrine;High;Ewalmala;x
85509;Chief of Air Force;Malu Owesigire;2003;2050;2050;NA;Air Superiority Doctrine;High;Unknown;x
85510;Chief of Navy;N/A;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
85511;Head of State;Kizza Besigye;2003;2050;2050;ML;Benevolent Gentleman;High;Kbesigye;x
85512;Head of Government;Kizza Besigye;2003;2050;2050;ML;Silent Workhorse;High;Kbesigye;x
