U15;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
24501;Head of State;Teodoro Obiang Nguema;2003;2050;2050;PA;Ruthless Powermonger;High;Tonguema;x
24502;Head of Government;Teodoro Obiang Nguema;2003;2050;2050;PA;Backroom Backstabber;High;Tonguema;x
24503;Foreign Minister;Micha Ondo Bile;2003;2050;2050;PA;Apologetic Clerk;High;Mobile;x
24504;Minister of Armament;Antonio Nguema;2003;2050;2050;PA;Corrupt Kleptocrat;High;Anguema;x
24505;Minister of Security;Manuel Nguema;2003;2050;2050;PA;Crooked Kleptocrat;High;Mnguema;x
24506;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
24507;Chief of Staff;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
24508;Chief of Army;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
24509;Chief of Air Force;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
24510;Chief of Navy;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
