U91;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
44501;Head of State;Jabir Sabah;2003;2050;2050;SC;Benevolent Gentleman;High;M44501;x
44502;Head of Government;Sabah al-Ahmad;2003;2050;2050;SC;Smiling Oilman;High;M44502;x
44503;Foreign Minister;Muhammad Sabah;2003;2050;2050;SC;Ideological Crusader;High;M44503;x
44504;Minister of Armament;Jabir Mubarak;2003;2050;2050;SC;Theoretical Scientist;High;Unknown;x
44505;Minister of Security;Ahmad Yaqub Baqr;2003;2050;2050;SC;Crime Fighter;High;Unknown;x
44506;Head of Military Intelligence;Unknown;2003;2050;2050;SC;Political Specialist;High;Unknown;x
44507;Chief of Staff;Fahd Ahmad al-Amir;2003;2050;2050;SC;School of Defence;High;Unknown;x
44508;Chief of Army;Fahd Ahmad al-Amir;2003;2050;2050;SC;Static Defence Doctrine;High;Unknown;x
44509;Chief of Navy;Ahmad Yousuf al-Mualla;2003;2050;2050;SC;Base Control Doctrine;High;Unknown;x
44510;Chief of Air Force;Sabir al-Auwaidan;2003;2050;2050;SC;Air Superiority Doctrine;High;Unknown;x
;Replacements;;;;;;;x
