U08;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
12001;Head of State;Blaise Compaoré;2003;2050;2050;LWR;Autocratic Charmer;Medium;Bcompaore;x
12002;Head of Government;Blaise Compaoré;2003;2050;2050;LWR;Ambitious Union Boss;High;Bcompaore;x
12003;Foreign Minister;Youssouf Ouedraogo;2003;2050;2050;SD;Apologetic Clerk;High;Youedraogo;x
12004;Minister of Armament;Yero Boli;2003;2050;2050;SD;Corrupt Kleptocrat;Medium;Yboly;x
12005;Minister of Security;Undistinguished Suit;2003;2050;2050;SD;Undistinguished Suit;High;Unknown;x
12006;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
12007;Chief of Staff;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;Medium;Unknown;x
12008;Chief of Army;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;Medium;Unknown;x
12009;Chief of Navy;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
12010;Chief of Air Force;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
