U56;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
92001;Head of State;Robert Mugabe;2003;2050;2050;FA;Ruthless Powermonger;High;Rmugabe;x
92002;Head of Government;Robert Mugabe;2003;2050;2050;FA;Backroom Backstabber;High;Rmugabe;x
92003;Foreign Minister;Stan Mudenge;2003;2050;2050;FA;iron fisted brute;High;Smudenge;x
92004;Minister of Armament;Sydney Sekeramayi;2003;2050;2050;FA;Infantry Proponent;High;Ssekeramayi;x
92005;Minister of Security;Kembo Mohadi;2003;2050;2050;FA;Prince of Terror;High;Kmohadi;x
92006;Head of Military Intelligence;Happyton Bonyongwe;2003;2050;2050;FA;Dismal Enigma;High;Hbonyongwe;x
92007;Chief of Staff;Constantine Chiwenga;2003;2050;2050;FA;School of Defence;High;Cchiwenga;x
92008;Chief of Army;Phillip Sibanda;2003;2050;2050;FA;Elastic Defence Doctrine;High;Psibanda;x
92009;Chief of Air Force;Perence Shiri;2003;2050;2050;FA;Army Aviation Doctrine;High;Pshiri;x
92010;Chief of Navy;N/A;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
92011;Foreign Minister;Simbarashe Mumbengegwi;2003;2050;2050;FA;Great Compromiser;High;Smumbengegwi;x
92012;Minister of Armament;Emmerson Mnangagwa;2003;2050;2050;FA;Corrupt Kleptocrat;High;Emnangagwa;x
92013;Minister of Security;Giles Mutsekwa;2003;2050;2050;FA;Compassionate Gentleman;High;Gmutsekwa;x
92014;Foreign Minister;Sikhanyiso Ndlovu;2003;2050;2050;FA;Ideological Crusader;High;Sndlovu;x
92015;Head of Government;Morgan Tsvangirai;2009;2050;2050;SD;Political Protege;High;Mtsvangirai;x
92016;Head of Military Intelligence;Elisha Muzonzini;2003;2050;2050;FA;Logistics Specialist;High;Emuzonzini;x
