U74;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
6001;Head of State;Iajuddin Ahmed;2003;2050;2050;SD;Powerhungry Demagogue;High;M6001;x
6002;Head of Government;Khaleda Zia;2003;2050;2050;SD;Political Protege;High;M6002;x
6003;Foreign Minister;M. Morshed Khan;2003;2050;2050;SD;Iron Fisted Brute;High;M6003;x
6004;Minister of Armament;Khaleda Zia;2003;2050;2050;SD;Infantry Proponent;High;M6002;x
6005;Minister of Security;Moudud Ahmed;2003;2050;2050;SD;Prince of Terror;High;M6005;x
6006;Head of Military Intelligence;Moudud Ahmed;2003;2050;2050;SD;Political Specialist;High;M6005;x
6007;Chief of Staff;Moeen U Ahmed;2003;2050;2050;SD;School of Mass Combat;High;M6007;x
6008;Chief of Army;Moeen U Ahmed;2003;2050;2050;SD;Decisive Battle Doctrine;High;M6007;x
6009;Chief of Navy;Fakhrul Azam;2003;2050;2050;SD;Decisive Naval Battle Doctrine;High;Unknown;x
6010;Chief of Air Force;Nurul Islam;2003;2050;2050;SD;Army Aviation Doctrine;High;Unknown;x
;Replacements;;;;;;;x
