U84;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
15501;Head of State;Idriss Déby;2003;2050;2050;PA;Ruthless Powermonger;High;Ideby;x
15502;Head of Government;Idriss Déby;2003;2050;2050;PA;Backroom Backstabber;High;Ideby;x
15503;Foreign Minister;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
15504;Minister of Armament;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
15505;Minister of Security;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
15506;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
15507;Chief of Staff;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
15508;Chief of Army;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
15509;Chief of Air Force;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
15510;Chief of Navy;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
