U55;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
91501;Head of State;Levy Mwanawasa;2003;2050;2050;SL;Benevolent Gentleman;High;Lmwanawasa;x
91502;Head of Government;Levy Mwanawasa;2003;2050;2050;SL;Silent Workhorse;High;Lmwanawasa;x
91503;Foreign Minister;Kabinga Pande;2003;2050;2050;SL;Ideological Crusader;High;Kpande;x
91504;Minister of Armament;George Mpombo;2003;2050;2050;SL;Corrupt Kleptocrat;High;Gmpombo;x
91505;Minister of Security;George Kunda;2003;2050;2050;SL;Compassionate Gentleman;High;Gkunda;x
91506;Head of Military Intelligence;Ronnie Shikapwasha;2003;2050;2050;NA;Political Specialist;High;Rshikapwasha;x
91507;Chief of Staff;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
91508;Chief of Army;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
91509;Chief of Air Force;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
91510;Chief of Navy;N/A;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
91511;Head of State;Michael Sata;2003;2050;2050;ML;Weary Stiffneck;High;Mcsata;x
91512;Head of Government;Michael Sata;2003;2050;2050;ML;Flamboyant Tough Guy;High;Mcsata;x
91513;Head of State;Rupiah Banda;2008;2050;2050;SL;Barking Buffoon;High;Rbanda;x
91514;Head of Government;Rupiah Banda;2008;2050;2050;SL;Ambitious Union Boss;High;Rbanda;x
