U67;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
94501;Head of State;Eduard Kokoity;2003;2050;2050;PA;Stern Imperialist;High;Ekokoity;x
94502;Head of Government;Gerasim Kugayev;2003;2050;2050;PA;Backroom Backstabber;High;Unknown;x
94503;Foreign Minister;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
94504;Minister of Armament;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
94505;Minister of Security;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
94506;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
94507;Chief of Staff;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
94508;Chief of Army;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
94509;Chief of Navy;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
94510;Chief of Air Force;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
94511;Head of Government;Igor Sanakoyev;2003;2050;2050;SC;Political Protege;High;Unknown;x
94512;Head of Government;Yury Morozov;2005;2050;2050;SC;Backroom Backstabber;High;Unknown;x
