U48;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
81501;Head of State;Benjamin Mkapa;2003;2050;2050;ML;Benevolent Gentleman;High;Unknown;x
81502;Head of Government;Benjamin Mkapa;2003;2050;2050;ML;Flamboyant Tough Guy;High;Unknown;x
81503;Foreign Minister;Bernard Membe;2003;2050;2050;ML;Great Compromiser;High;Bmembe;x
81504;Minister of Armament;Hussein Mwinyi;2003;2050;2050;ML;laissez-faire capitalist;High;Hmwinyi;x
81505;Minister of Security;Johnson Mwanyika;2003;2050;2050;ML;Crime Fighter;High;Jmwanyika;x
81506;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;ML;Undistinguished Suit;High;Unknown;x
81507;Chief of Staff;George Waitara;2003;2050;2050;NA;School of Fire Support;High;Gwaitara;x
81508;Chief of Army;Iddi Gahu;2003;2050;2050;NA;Elastic Defence Doctrine;High;Unknown;x
81509;Chief of Air Force;Francis Ulomi;2003;2050;2050;NA;Air Superiority Doctrine;High;Unknown;x
81510;Chief of Navy;Mohammad Othman;2003;2050;2050;NA;Indirect Approach Doctrine;High;Unknown;x
;Replacements;;;;;;;x
81511;Head of State;Jakaya Kikwete;2005;2050;2050;ML;Insignificant Layman;High;Jkikwete;x
81512;Head of Government;Jakaya Kikwete;2005;2050;2050;ML;Silent Workhorse;High;Jkikwete;x
81513;Foreign Minister;Diodorus Kamala;2003;2050;2050;ML;Ideological Crusader;High;Dkamala;x
81514;Foreign Minister;Mohamed Mohamed;2003;2050;2050;ML;Apologetic Clerk;High;Mmohamed;x
81515;Foreign Minister;Seif Iddi;2003;2050;2050;ML;Great Compromiser;High;Siddi;x
81516;Minister of Armament;Emmanuel Nchimbi;2003;2050;2050;ML;Corrupt Kleptocrat;High;Enchimbi;x
81517;Chief of Staff;Davis Mwamunyange;2007;2050;2050;NA;School of Psychology;High;Dwamunyange ;x
81518;Chief of Army;Davis Mwamunyange;2003;2050;2050;NA;Armoured Spearhead Doctrine;High;Dwamunyange ;x
81519;Chief of Staff;Iddi Gahu;2003;2050;2050;NA;School of Defence;High;Unknown;x
81520;Chief of Army;Abdulrahman Shimbo;2003;2050;2050;NA;Guns and Butter Doctrine;High;Ashimbo;x
81521;Head of State;Ibrahim Lipumba;2003;2050;2050;SL;Weary Stiffneck;High;Ilipumba;x
81522;Head of Government;Ibrahim Lipumba;2003;2050;2050;SL;Silent Workhorse;High;Ilipumba;x
81523;Foreign Minister;Machano Khamis Ali;2003;2050;2050;SL;Apologetic Clerk;High;Mkali;x
81524;Minister of Armament;Seif Shariff Hamad;2003;2050;2050;SL;Administrative Genius;High;Sshamad;x
