U88;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
40501;Head of State;Laurent Gbagbo;2003;2050;2050;SD;Weary Stiffneck;High;Lgbagbo;x
40502;Head of Government;Laurent Gbagbo;2003;2050;2050;SD;Ambitious Union Boss;High;Lgbagbo;x
40503;Foreign Minister;Amary Essy;2003;2050;2050;SD;Great Compromiser;High;Aessy;x
40504;Minister of Armament;Laurent Gbagbo;2003;2050;2050;SD;Corrupt Kleptocrat;High;Lgbagbo;x
40505;Minister of Security;Desire Tagro;2003;2050;2050;SD;Man of the People;High;Dtagro;x
40506;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
40507;Chief of Staff;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
40508;Chief of Army;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
40509;Chief of Air Force;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
40510;Chief of Navy;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
