U23;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
666901;Head of State;UN;2003;2050;2050;NA;Undistinguished Suit;High;unminister;x
666902;Head of Government;UN Special Representative;2003;2050;2050;NA;Undistinguished Suit;High;unminister;x
666903;Foreign Minister;N/A;2003;2050;2050;NA;Undistinguished Suit;High;unminister;x
666904;Minister of Armament;Kosovo Protection Corps;2003;2050;2050;NA;Undistinguished Suit;High;Kprotectioncorps;x
666905;Minister of Security;Kosovo Protection Corps;2003;2050;2050;NA;Undistinguished Suit;High;Kprotectioncorps;x
666906;Head of Military Intelligence;N/A;2003;2050;2050;NA;Undistinguished Suit;High;unminister;x
666907;Chief of Staff;N/A;2003;2050;2050;NA;Undistinguished Suit;High;unminister;x
666908;Chief of Army;N/A;2003;2050;2050;NA;Undistinguished Suit;High;unminister;x
666909;Chief of Navy;N/A;2003;2050;2050;NA;Undistinguished Suit;High;unminister;x
666910;Chief of Air Force;N/A;2003;2050;2050;NA;Undistinguished Suit;High;unminister;x
;Replacements;;;;;;;x
666911;Head of State;Fatmir Sejdiu;2008;2050;2050;ML;Benevolent Gentleman;High;Fsejdiu;x
666912;Head of Government;Hashim Thaci;2008;2050;2050;SL;Backroom Backstabber;High;Hthaci;x
666913;Foreign Minister;Skender Hyseni;2008;2050;2050;ML;Great Compromiser;High;Shyseni;x
666914;Minister of Armament;Zenun Payaziti;2008;2050;2050;SL;Corrupt Kleptocrat;High;Unknown;x
