U75;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
72501;Head of State;Sellapan Ramanathan;2003;2050;2050;PA;Insignificant Layman;High;M72501;x
72502;Head of Government;Goh Chok Tong;2003;2050;2050;PA;Corporate Suit;High;M72502;x
72503;Foreign Minister;Shanmugam Jayakumar;2003;2050;2050;PA;Biased Intellectual;High;M72503;x
72504;Minister of Armament;Ng Eng Hen;2003;2050;2050;PA;Administrative Genius;High;M72504;x
72505;Minister of Security;Wong Kan Seng;2003;2050;2050;PA;Man of the People;High;M72505;x
72506;Head of Military Intelligence;Lee Boon Yang;2003;2050;2050;PA;Technical Specialist;High;M72506;x
72507;Chief of Staff;Tony Tan;2003;2050;2050;PA;School of Defence;High;M72507;x
72508;Chief of Army;George Yeo;2003;2050;2050;PA;Static Defence Doctrine;High;M72508;x
72509;Chief of Navy;Lui Tuck Yew;2003;2050;2050;PA;Open Seas Doctrine;High;M72509;x
72510;Chief of Air Force;Lim Kim Choon;2003;2050;2050;PA;Air Superiority Doctrine;High;M72510;x
;Replacements;;;;;;;x
