U14;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
21501;Head of State;Ismail Omar Guelleh;2003;2050;2050;SD;Autocratic Charmer;High;Ioguelleh;x
21502;Head of Government;Dileita Mohamed Dileita;2003;2050;2050;SD;Political Protege;High;Dmdileita;x
21503;Foreign Minister;Mahamoud Ali Youssouf;2003;2050;2050;SD;Apologetic Clerk;High;Mayoussouf;x
21504;Minister of Armament;Ougoureh Ahmed;2003;2050;2050;SD;Infantry Proponent;High;Oahmed;x
21505;Minister of Security;Yacin Bouh;2003;2050;2050;SD;Crooked Kleptocrat;High;Ybouh;x
21506;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
21507;Chief of Staff;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
21508;Chief of Army;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
21509;Chief of Air Force;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
21510;Chief of Navy;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
