U90;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
43001;Head of State;Mwai Kibaki;2003;2050;2050;ML;Benevolent Gentleman;High;Mkibaki;x
43002;Head of Government;Mwai Kibaki;2003;2050;2050;ML;Silent Workhorse;High;Mkibaki;x
43003;Foreign Minister;Kalonzo Musyoka;2003;2050;2050;ML;Great Compromiser;High;Kmusyoka;x
43004;Minister of Armament;Mohamed Yusuf Haji;2003;2050;2050;ML;Resource Industrialist;High;Myhaji;x
43005;Minister of Security;George Saitoti;2003;2050;2050;ML;Silent Lawyer;High;Gsaitoti;x
43006;Head of Military Intelligence;Wilson Boinett;2003;2050;2050;NA;Technical Specialist;High;Unknown;x
43007;Chief of Staff;Jeremiah Kianga;2003;2050;2050;NA;School of Psychology;High;Jkianga;x
43008;Chief of Army;Jackson Tuwei;2003;2050;2050;NA;Guns and Butter Doctrine;High;Jtuwei;x
43009;Chief of Air Force;Julius Karangi;2003;2050;2050;NA;Army Aviation Doctrine;High;Jkarangi;x
43010;Chief of Navy;Samsom Jefwa Mwathethe;2003;2050;2050;NA;Indirect Approach Doctrine;High;Sjmwathethe;x
;Replacements;;;;;;;x
43011;Head of State;Raila Odinga;2003;2050;2050;SL;Benevolent Gentleman;High;Rodinga;x
43012;Head of Government;Raila Odinga;2003;2050;2050;SL;Silent Workhorse;High;Rodinga;x
43013;Foreign Minister;Cecily Mbarire;2003;2050;2050;ML;Great Compromiser;High;Cmbarire;x
43014;Foreign Minister;Amason Jeffah;2003;2050;2050;ML;Biased Intellectual;High;Ajeffah;x
43015;Foreign Minister;Moses Wetangula;2007;2050;2050;ML;Ideological Crusader;High;Mwetangula;x
43016;Foreign Minister;Raphael Tuju;2004;2050;2050;ML;iron fisted brute;High;Rtuju;x
43017;Foreign Minister;Chirau Mwakwere;2003;2050;2050;ML;Apologetic Clerk;High;Cmwakwere;x
43018;Minister of Armament;David Musila;2003;2050;2050;ML;Tank Proponent;High;Dmusila;x
43019;Minister of Security;Amos Wako;2003;2050;2050;ML;Back Stabber;High;Awako;x
43020;Minister of Security;Gerald Kajwang;2003;2050;2050;ML;Crooked Kleptocrat;High;Gkajwang;x
43021;Minister of Security;Kalonzo Musyoka;2003;2050;2050;ML;Crime Fighter;High;Kmusyoka;x
43022;Head of Military Intelligence;Michael Gichangi;2006;2050;2050;NA;Dismal Enigma;High;Mgichangi;x
43023;Chief of Staff;Julius Karangi;2006;2050;2050;NA;School of Fire Support;High;Jkarangi;x
43024;Chief of Army;Jones Mutwii;2003;2050;2050;NA;Elastic Defence Doctrine;High;Jmutwii;x
43025;Chief of Staff;Jones Mutwii;2006;2050;2050;NA;School of Psychology;High;Jmutwii;x
43026;Chief of Air Force;Harold Tangai;2005;2050;2050;NA;Air Superiority Doctrine;High;Htangai;x
43027;Chief of Air Force;Charles Mwanzia;2003;2050;2050;NA;Air Superiority Doctrine;High;Cmwanzia;x
43028;Chief of Staff;Charles Mwanzia;2008;2050;2050;NA;School of Fire Support;High;Cmwanzia;x
43029;Chief of Army;Bashir Yussuf Haji;2010;2050;2050;NA;Armoured Spearhead Doctrine;High;Byhaji;x
43030;Chief of Air Force;Jackson Waweru;2008;2050;2050;NA;Army Aviation Doctrine;High;Jwaweru;x
43031;Chief of Army;Augustino Njoroge;2005;2050;2050;NA;Elastic Defence Doctrine;High;Anjoroge;x
43032;Minister of Armament;Henry Kosgey;2003;2050;2050;NA;Resource Industrialist;High;Hkosgey;x
43033;Minister of Security;Ababu Namwamba;2003;2050;2050;SL;Silent Lawyer;High;Anamwamba;x
43034;Foreign Minister;Joyce Laboso;2003;2050;2050;SL;Biased Intellectual;High;Jlaboso;x
