U66;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
57001;Head of State;Dahir Rayale Kahin;2003;2050;2050;SD;Stern Imperialist;Medium;Drkahin;x
57002;Head of Government;Dahir Rayale Kahin;2003;2050;2050;SD;Backroom Backstabber;High;Drkahin;x
57003;Foreign Minister;Abdillahi Mohamed Dualeh;2003;2050;2050;SD;Ideological Crusader;High;Amdualeh;x
57004;Minister of Armament;Adan Mire Mohamed;2003;2050;2050;SD;Infantry Proponent;Medium;Unknown;x
57005;Minister of Security;Abdillahi Ismail Ali;2003;2050;2050;SD;Compassionate Gentleman;High;Aiali;x
57006;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
57007;Chief of Staff;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;Medium;Unknown;x
57008;Chief of Army;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;Medium;Unknown;x
57009;Chief of Navy;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
57010;Chief of Air Force;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
