U72;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
392001;Head of State;Romano Prodi;2003;2050;2050;SL;Weary Stiffneck;High;M7722;x
392002;Head of Government;Patrick Cox;2003;2050;2050;SD;Silent Workhorse;High;M392002;x
392003;Minister of Armament;Günter Verheugen;2003;2050;2050;SD;Resource Industrialist;High;M392003;x
392004;Foreign Minister;Javier Solana;2003;2050;2050;SL;Great Compromiser;High;M392004;x
392005;Chief of Navy;Undistinguished suit;2003;2050;2050;SD;Undistinguished suit;High;Unknown;x
392006;Chief of Army;David Leakey;2003;2050;2050;SL;Elastic Defence Doctrine;High;M392006;x
392007;Chief of Air Force;Undistinguished suit;2003;2050;2050;SD;Undistinguished suit;High;Unknown;x
392008;Head of Military Intelligence;Max Peter Ratzel;2003;2050;2050;SC;Technical Specialist;High;M392008;x
392009;Chief of Staff;Henri Bentegeat;2003;2050;2050;SL;School of Manoeuvre;High;M392009;x
392010;Minister of Security;Franco Frattini;2003;2050;2050;SD;Silent Lawyer;High;M392010;x
;Replacements;;;;;;;x
392012;Head of State;Thomas Klestil;2003;2050;2050;ML;Benevolent Gentleman;High;M4500;x
392014;Foreign Minister;Benita Ferrero-Waldner;2003;2050;2050;ML;Great Compromiser;High;M4502;x
392015;Minister of Armament;Karl-Heinz Grasser;2003;2050;2050;ML;Laissez-Faire Capitalist;High;M4503;x
392016;Minister of Security;Dieter Böhmdorfer;2003;2050;2050;ML;Prince of Terror;High;M4504;x
392018;Chief of Staff;Roland Ertl;2003;2050;2050;SC;School of Defence;High;M4506;x
392019;Chief of Army;Edmund Entacher;2003;2050;2050;SL;Guns and Butter Doctrine;High;M4507;x
392020;Chief of Navy;None;2003;2050;2050;SC;Undistinguished Suit;High;M4508;x
392011;Chief of Air Force;Erich Wolf;2003;2050;2050;SL;Air Superiority Doctrine;High;M4509;x
392023;Head of Government;Guy Verhofstadt;2003;2050;2050;ML;Naive Optimist;High;M7502;x
392024;Foreign Minister;Louis Michel;2003;2050;2050;ML;Ideological Crusader;High;M7503;x
392025;Minister of Armament;Johan Vande Lanotte;2003;2050;2050;ML;laissez-faire capitalist;High;M7504;x
392026;Minister of Security;Marc Verwilghen;2003;2050;2050;ML;Back Stabber;High;M7505;x
392027;Head of Military Intelligence;Michel Hellemans;2003;2050;2050;ML;Political Specialist;High;M7506;x
392028;Chief of Staff;André Flahaut;2003;2050;2050;ML;School of Defence;High;M7507;x
392029;Chief of Army;Oger Pochet;2003;2050;2050;ML;Guns and Butter Doctrine;High;M7508;x
392030;Chief of Navy;Michel Hellemans;2003;2050;2050;ML;Open Seas Doctrine;High;M7509;x
392031;Chief of Air Force;Michel Audrit;2003;2050;2050;ML;Air Superiority Doctrine;High;M7510;x
392032;Head of Government;Anders Fogh Rasmussen;2003;2050;2050;SC;Flamboyant Tough Guy;High;M21002;x
392033;Foreign Minister;Per Stig Möller;2003;2050;2050;SC;Ideological Crusader;High;M22003;X
392034;Minister of Armament;Bendt Bendtsen;2003;2050;2050;SC;Resource Industrialist;High;M21004;x
392035;Minister of Security;Lene Espersen;2003;2050;2050;SC;Crime Fighter;High;M21005;x
392036;Head of Military Intelligence;Jörn Olsesen;2003;2050;2050;SC;Industrial Specialist;High;Unknown;x
