U18;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
25001;Head of State;Isaias Afewerki;2003;2050;2050;LE;Stern Imperialist;High;Iafewerki;x
25002;Head of Government;Isaias Afewerki;2003;2050;2050;LE;Ambitious Union Boss;High;Iafewerki;x
25003;Foreign Minister;Osman Saleh Mohammed;2003;2050;2050;LE;Apologetic Clerk;High;Osmohammed;x
25004;Minister of Armament;Sebhat Ephrem;2003;2050;2050;LE;Military Entrepreneur;High;Sephrem;x
25005;Minister of Security;Askalu Menkerios;2003;2050;2050;LE;Compassionate Gentleman;High;Amenkerios;x
25006;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
25007;Chief of Staff;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
25008;Chief of Army;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
25009;Chief of Air Force;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
25010;Chief of Navy;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
