U30;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
53001;Head of State;Karl Offmann;2003;2050;2050;SL;Benevolent Gentleman;High;Koffmann;x
53002;Head of Government;Anerood Jugnauth;2003;2050;2050;SL;Silent Workhorse;High;Ajugnauth;x
53003;Foreign Minister;Charles Duval;2003;2050;2050;SL;Ideological Crusader;High;Cduvalm;x
53004;Minister of Armament;No standing army;2003;2050;2050;SL;Undistinguished Suit;High;Unknown;x
53005;Minister of Security;Jayarama Valayden;2003;2050;2050;SL;Crime Fighter;High;Jvalayden;x
53006;Head of Military Intelligence;No standing army;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
53007;Chief of Staff;No standing army;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
53008;Chief of Army;No standing army;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
53009;Chief of Air Force;No standing army;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
53010;Chief of Navy;No standing army;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
53011;Head of State;Anerood Jugnauth;2003;2050;2050;SL;Die-hard Reformer;High;Ajugnauth;x
53012;Head of Government;Navinchandra Ramgoolam;2003;2050;2050;SL;Political Protege;High;Nramgoolam;x
