U26;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
29001;Head of State;Boris Trajkovski;2003;2050;2050;SL;Benevolent Gentleman;High;M99301;x
29002;Head of Government;Branko Crvenkovski;2003;2050;2050;SL;Ambitious Union Boss;High;M99302;x
29003;Minister of Armament;Vlado Buckovski;2003;2050;2050;SL;Corrupt Kleptocrat;High;M99303;x
29004;Foreign Minister;Ilinka Mitreva;2003;2050;2050;SL;Great Compromiser;High;M99304;x
29005;Chief of Navy;N/A;2003;2050;2050;NA;Undistinguished suit;High;Unknown;x
29006;Chief of Army;Undistinguished suit;2003;2050;2050;NA;Undistinguished suit;High;Unknown;x
29007;Chief of Air Force;Vladimir Lazarov;2003;2050;2050;NA;Army Aviation Doctrine;High;Vlazarov;x
29008;Head of Military Intelligence;Undistinguished suit;2003;2050;2050;NA;Undistinguished suit;High;Unknown;x
29009;Chief of Staff;Metodi Stamboliski;2003;2050;2050;NA;School of Fire Support;High;Mstamboliski;x
29010;Minister of Security;Vlado Buckovski;2003;2050;2050;ML;Crime Fighter;High;M99309;x
29011;Head of Government;Radmila Sekerinska;2003;2050;2050;ML;Silent Workhorse;High;M99311;x
29012;Chief of Staff;Gjorgi Bojadziev;2003;2050;2050;NA;School of Psychology;High;Gbojadziev;x
29013;Chief of Staff;Miroslav Stojanovski;2005;2050;2050;NA;School of Fire Support;High;Mstojanovski;x
29014;Head of State;Branko Crvenkovski;2004;2050;2050;SL;Weary Stiffneck;High;M99302;x
29015;Head of Government;Hari Kostov;2004;2050;2050;SL;Flamboyant Tough Guy;High;M99303;x
29016;Head of Government;Vlado Buckovski;2004;2050;2050;SL;Backroom Backstabber;High;M99303;x
29017;Head of Government;Nikola Gruevski;2004;2050;2050;ML;Flamboyant Tough Guy;High;Ngruevski;x
