U01;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
94001;Head of State;Vladislav Ardzinba;2003;2050;2050;SC;Insignificant Layman;High;Vardzinba;x
94002;Head of Government;Gennady Gagulia;2003;2050;2050;SC;Backroom Backstabber;High;Ggagulia;x
94003;Foreign Minister;Sergey Shamba;2003;2050;2050;SC;Iron Fisted Brute;High;Sshamba;x
94004;Minister of Armament;Merab Kishmariya;2003;2050;2050;SC;Tank Proponent;High;Unknown;x
94005;Minister of Security;Otar Khetsiya;2003;2050;2050;SC;Crime Fighter;High;Unknown;x
94006;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;SC;Undistinguished Suit;High;Unknown;x
94007;Chief of Staff;Anatoly Zaitsev;2003;2050;2050;SC;School of Fire Support;High;Unknown;x
94008;Chief of Army;Sultan Sosnaliev;2003;2050;2050;SC;Elastic Defence Doctrine;High;Unknown;x
94009;Chief of Navy;Vyacheslav Eshba;2003;2050;2050;SC;Indirect Approach Doctrine;High;Unknown;x
94010;Chief of Air Force;Vyacheslav Eshba;2003;2050;2050;SC;Army Aviation Doctrine;High;Unknown;x
;Replacements;;;;;;;x
94011;Head of State;Sergei Bagapsh;2005;2050;2050;SC;Insignificant Layman;High;Sbagapsh;x
94012;Head of Government;Sergei Bagapsh;2003;2050;2050;SC;Political Protege;High;Sbagapsh;x
94013;Head of Government;Raul Khadjimba;2003;2050;2050;SC;Flamboyant Tough Guy;High;Rkhadjimba;x
94014;Head of Government;Nodar Khashba;2004;2050;2050;SC;Backroom Backstabber;High;Nkhashba;x
94015;Head of Government;Alexandr Ankvab;2005;2050;2050;SC;Corporate Suit;High;Aankvab;x
94016;Foreign Minister;Gueorgui Otyrba;2004;2050;2050;SC;Great Compromiser;High;Unknown;x
94017;Foreign Minister;Igor Akhba;2004;2050;2050;SC;Undistinguished Suit;High;Unknown;x
94018;Minister of Security;Gari Kupalba;2006;2050;2050;SC;Prince of Terror;High;Unknown;x
94019;Minister of Armament;Gari Kupalba;2008;2050;2050;SC;Infantry Proponent;High;Unknown;x
