U17;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
17401;Head of State;Kay Rala Gusmão;2003;2050;2050;ML;Weary Stiffneck;High;M17401;x
17402;Head of Government;Marí Bim Alkatiri;2003;2050;2050;ML;Backroom Backstabber;High;M17402;x
17403;Minister of Armament;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
17404;Foreign Minister;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
17405;Chief of Navy;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
17406;Chief of Army;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
17407;Chief of Air Force;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
17408;Head of Military Intelligence;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
17409;Chief of Staff;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
17410;Minister of Security;Undistinguished suit;2003;2050;2050;ML;Undistinguished suit;High;Unknown;x
;Replacements;;;;;;;x
17411;Head of State;José Ramos-Horta;2007;2050;2050;NA;Die-Hard Reformer;High;Jrhorta;x
17412;Head of Government;José Ramos-Horta;2006;2050;2050;NA;Flamboyant Tough Guy;High;Jrhorta;x
17413;Head of Government;Kay Rala Gusmão;2007;2050;2050;ML;Flamboyant Tough Guy;High;M17401;x
