U95;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
69501;Head of State;Paul Kagame;2003;2050;2050;PA;Stern Imperialist;High;Pkagame;x
69502;Head of Government;Paul Kagame;2003;2050;2050;PA;Flamboyant Tough Guy;High;Pkagame;x
69503;Foreign Minister;Monique Mukaruliza;2003;2050;2050;PA;Ideological Crusader;High;Mmukaruliza;x
69504;Minister of Armament;Marcel Gatsinzi;2003;2050;2050;PA;Military Entrepreneur;High;Mgatsinzi;x
69505;Minister of Security;Louise Mushikiwabo;2003;2050;2050;PA;Silent Lawyer;High;Lmushikiwabo;x
69506;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
69507;Chief of Staff;James Kabarebe;2003;2050;2050;PA;School of Psychology;High;Jkabarebe;x
69508;Chief of Army;Charles Kayonga;2003;2050;2050;PA;Elastic Defence Doctrine;High;Ckayonga;x
69509;Chief of Air Force;Charles Muhire;2003;2050;2050;PA;Army Aviation Doctrine;High;Cmuhire;x
69510;Chief of Navy;N/A;2003;2050;2050;PA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
69511;Head of State;Faustin Twagiramungu;2003;2050;2050;SL;Benevolent Gentleman;High;Ftwagiramungu;x
69512;Head of Government;Faustin Twagiramungu;2003;2050;2050;SL;Flamboyant Tough Guy;High;Ftwagiramungu;x
