U94;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
59501;Head of State;Tanja Mamadou;2003;2050;2050;ML;Resigned Generalissimo;High;Tmamadou;x
59502;Head of Government;Hama Amadou;2003;2050;2050;ML;Backroom Backstabber;High;Hamadou;x
59503;Foreign Minister;Aichatou Mindaoudou;2003;2050;2050;ML;Great Compromiser;High;Amindaoudou;x
59504;Minister of Armament;Djida Hamadou;2003;2050;2050;ML;Infantry Proponent;High;Dhamadou;x
59505;Minister of Security;Albadé Abouba;2003;2050;2050;ML;Crooked Kleptocrat;High;Aabouba;x
59506;Head of Military Intelligence;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
59507;Chief of Staff;Boureima Moumouni;2003;2050;2050;NA;School of Psychology;High;Bmoumouni;x
59508;Chief of Army;Undistinguished Suit;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
59509;Chief of Air Force;Salou Souleymane;2003;2050;2050;NA;Army Aviation Doctrine;High;Unknown;x
59510;Chief of Navy;N/A;2003;2050;2050;NA;Undistinguished Suit;High;Unknown;x
;Replacements;;;;;;;x
59511;Head of Government;Seyni Oumarou;2003;2050;2050;ML;Corporate Suit;High;Soumarou;x
