AFG;Inf;Faizabad Division
AFG;Inf;Ghazni Division
AFG;Inf;Herat Division
AFG;Inf;Jalalabad Division
AFG;Inf;Kandahar Division
AFG;Inf;Maymeneh Division
AFG;Inf;Mazar-i-Sharif Division
AFG;Inf;Zahir Shah Division
AFG;Inf;Abdur Rahman Division
AFG;Inf;Nadir Shah Division
AFG;Inf;Dost Mohammed Division
AFG;Inf;Shah Shuja Division
AFG;Inf;Taloqan Division
AFG;Inf;Qondoz Division
AFG;Inf;Kholm Division
AFG;Inf;Aybak Division
AFG;Inf;Sheberghan Division
AFG;Inf;Balkh Division
AFG;Inf;Meymaneh Division
AFG;Inf;Dawlatabad Division
AFG;Inf;Tarin Kowt Division
AFG;Inf;Dalat Division
AFG;Inf;Khash Division
AFG;Inf;Lashkar Gan Division
AFG;Inf;Mirabad Division
AFG;Cav;Faizabad Cavalry
AFG;Cav;Ghazni Cavalry
AFG;Cav;Herat Cavalry
AFG;Cav;Jalalabad Cavalry
AFG;Cav;Kandahar Cavalry
AFG;Cav;Maymeneh Cavalry
AFG;Cav;Mazar-i-Sharif Cavalry
AFG;Cav;Zahir Shah Cavalry
AFG;Cav;Abdur Rahman Cavalry
AFG;Cav;Nadir Shah Cavalry
AFG;Mot;Faizabad Motor Div.
AFG;Mot;Ghazni Motor Div.
AFG;Mot;Herat Motor Div.
AFG;Mot;Jalalabad Motor Div.
AFG;Mot;Kandahar Motor Div.
AFG;Mot;Maymeneh Motor Div.
AFG;Mot;Mazar-i-Sharif Motor Div.
AFG;Mot;Zahir Shah Motor Div.
AFG;Mot;Abdur Rahman Motor Div.
AFG;Mot;Nadir Shah Motor Div.
AFG;Mot;Dost Mohammed Motor Div.
AFG;Mot;Shah Shuja Motor Div.
AFG;Mec;Faizabad Half Track Div.
AFG;Mec;Ghazni Half Track Div.
AFG;Mec;Herat Half Track Div.
AFG;Mec;Jalalabad Half Track Div.
AFG;Mec;Kandahar Half Track Div.
AFG;Mec;Maymeneh Half Track Div.
AFG;Mec;Mazar-i-Sharif Half Track Div.
AFG;Mec;Zahir Shah Half Track Div.
AFG;Mec;Abdur Rahman Half Track Div.
AFG;Mec;Nadir Shah Half Track Div.
AFG;Mec;Dost Mohammed Half Track Div.
AFG;Mec;Shah Shuja Half Track Div.
AFG;L ARM;Faizabad Armoured Div.
AFG;L ARM;Ghazni Armoured Div.
AFG;L ARM;Herat Armoured Div.
AFG;L ARM;Jalalabad Armoured Div.
AFG;L ARM;Kandahar Armoured Div.
AFG;L ARM;Maymeneh Armoured Div.
AFG;L ARM;Mazar-i-Sharif Armoured Div.
AFG;L ARM;Zahir Shah Armoured Div.
AFG;L ARM;Abdur Rahman Armoured Div.
AFG;L ARM;Nadir Shah Armoured Div.
AFG;L ARM;Dost Mohammed Armoured Div.
AFG;L ARM;Shah Shuja Armoured Div.
AFG;Arm;Faizabad Armoured Div.
AFG;Arm;Ghazni Armoured Div.
AFG;Arm;Herat Armoured Div.
AFG;Arm;Jalalabad Armoured Div.
